Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
TS-Sabin,902,14030,USA,PSN,Dhalsim,93,80,15,93,66,93,49,86,44,95,40,98,55,91,85,87,33,95,89,94,59,96,32,93,77,94,86,92,52,96,30,97,72,88,18
Fchampryan,532,12335,USA,STEAM,Dhalsim,92,91,23,95,21,93,32,96,32,77,31,100,34,93,31,100,9,88,36,92,40,91,23,93,43,97,40,87,24,91,23,87,66,95,22
FlashMetroid,953,12268,USA,PSN,Claw,89,91,48,87,47,95,42,90,31,84,64,94,39,89,76,95,24,86,93,93,63,93,61,87,78,82,40,80,61,90,50,92,111,83,24
BabyBel,699,13603,DEU,STEAM,Ken,93,96,28,92,28,87,39,97,40,97,34,79,29,97,46,88,17,89,75,97,35,100,44,94,52,93,44,89,19,90,44,95,68,90,21
TheGoldRoom,1056,12037,GBR,STEAM,Dhalsim,85,91,24,77,62,78,66,90,52,96,60,95,21,74,111,76,21,84,85,84,78,86,43,92,90,91,67,80,36,75,49,92,115,80,20
BaLBaLoL,700,12655,GBR,STEAM,Nash,90,0,0,78,19,100,17,100,16,80,20,100,5,88,34,100,6,93,32,90,31,91,23,89,46,86,23,84,13,100,11,94,54,85,7
Backdash_Luffy,556,13604,FRA,PSN,Nash,97,100,33,100,21,100,10,100,17,96,25,90,11,87,55,100,13,100,67,97,37,95,41,98,79,100,16,100,25,100,9,100,88,100,9
Phenom,703,12065,NOR,PSN,Dictator,90,100,11,90,21,100,16,70,20,79,24,100,12,79,48,100,16,95,44,94,35,93,16,93,46,95,41,96,28,89,19,92,69,82,28
yuhi-hikali,1038,12726,JPN,PSN,Necalli,92,100,10,95,44,93,65,98,63,87,47,88,27,84,69,90,22,95,97,94,102,91,81,94,102,90,74,86,44,92,75,97,100,93,15
Somniac,1163,12354,AUS,STEAM,Dictator,91,94,59,97,34,100,37,100,38,100,34,90,42,81,44,92,13,91,82,88,86,91,48,98,119,95,62,92,98,89,19,85,228,86,46
Beni_Best,999,12060,ISR,STEAM,Cammy,88,94,18,70,62,92,39,92,41,92,26,75,33,80,106,100,25,92,79,90,88,88,62,91,105,94,51,83,42,88,18,90,165,86,36
ConchitaWurst,669,11036,OTH,STEAM,Nash,85,85,20,76,17,80,21,75,8,71,32,66,39,73,19,86,15,100,22,91,24,94,35,92,40,81,22,79,29,92,13,93,75,100,8
hirot_p38,667,12288,JPN,PSN,Chun Li,90,100,19,90,11,83,37,84,72,86,30,88,27,94,34,87,16,95,68,89,57,96,28,83,67,92,41,96,51,94,38,94,52,94,19
GinoDacampo,983,12003,GBR,STEAM,Laura,83,100,19,82,58,75,81,92,53,78,56,78,47,87,88,90,31,81,96,89,48,86,37,89,67,82,58,86,53,82,40,77,116,88,35
damdai,875,12317,USA,PSN,Ryu,89,100,22,92,39,86,52,90,65,86,51,96,31,84,69,80,15,94,84,93,62,100,57,82,91,88,67,72,40,89,28,95,63,94,39
TampaBison,1064,10696,USA,PSN,Dictator,86,79,34,75,48,90,61,78,46,79,53,79,44,94,77,79,29,86,113,89,85,81,69,90,76,85,55,83,62,84,45,91,136,93,30
Cobelcog,684,9968,IRL,PSN,Cammy,85,91,12,75,45,93,29,76,25,81,32,89,28,85,88,100,13,88,63,85,47,83,43,83,53,86,58,75,32,85,20,95,80,87,16
F3alucarD,718,12461,USA,PSN,Birdie,87,96,30,91,34,76,17,66,36,88,35,87,8,91,24,71,7,89,59,85,28,79,24,80,31,85,21,95,22,100,8,91,48,100,21
bisonfan20,431,10975,GBR,PSN,Dictator,86,100,1,83,12,57,21,90,20,83,37,70,34,85,48,85,14,96,25,90,22,78,33,97,34,93,31,86,15,86,23,95,46,86,15
spaghettiman,382,10412,JPN,PSN,Laura,82,100,5,84,13,79,24,71,28,86,15,56,16,88,26,83,6,74,31,92,39,94,19,83,36,90,22,84,19,68,16,84,46,75,8
ning726,1231,9599,USA,PSN,Dictator,81,88,35,81,66,81,75,72,66,75,64,68,45,87,91,77,18,83,115,87,83,67,65,90,87,89,84,68,116,80,46,85,140,76,30
Aozaki_Kyo,1096,12068,OTH,PSN,Karin,82,87,73,85,41,78,60,77,58,73,63,88,34,78,71,71,28,86,100,87,71,87,72,87,91,75,88,78,64,81,32,90,100,84,50
3nodx2,646,10440,JPN,PSN,Chun Li,83,0,0,94,19,76,34,76,17,100,7,58,12,88,27,70,17,92,40,88,26,100,20,73,26,85,14,93,15,77,18,78,47,100,8
-Keoma-,998,10656,BRA,STEAM,Karin,86,93,32,73,23,92,52,85,56,77,72,91,35,84,85,78,14,88,119,84,65,90,73,86,76,73,52,87,54,90,31,92,106,93,30
WORLD_COMBO,1171,12161,JPN,PSN,Fang,82,100,12,80,56,65,84,81,76,89,38,70,44,80,86,85,34,92,107,92,65,84,75,76,113,86,81,89,68,65,66,87,139,96,27
Majorboy19,1104,11700,JPN,STEAM,Chun Li,86,92,26,87,40,87,64,83,84,90,41,71,35,86,53,95,20,85,107,87,108,91,60,83,103,87,72,84,50,90,51,85,159,83,31
zaqzaqzaq,460,12782,JPN,PSN,Chun Li,93,100,8,93,16,84,26,96,33,100,19,100,15,100,13,100,5,100,29,88,45,100,33,97,45,88,25,94,37,92,27,85,77,100,7
Rhyllis,433,10182,CAN,PSN,Fang,84,100,1,87,32,83,30,93,29,71,21,87,24,79,48,80,10,86,36,80,35,100,21,83,30,86,30,76,25,86,15,91,35,72,11
Verloren,887,11765,KOR,STEAM,Cammy,87,100,9,90,33,90,74,87,48,84,13,93,31,84,66,90,22,86,60,88,75,90,61,82,101,89,64,82,40,88,44,84,104,95,23
Ca55hern,743,10061,GRC,STEAM,Nash,86,92,27,76,25,88,34,96,28,95,24,70,24,79,62,84,19,81,72,94,54,83,36,85,92,83,42,84,33,86,29,91,117,87,24
VFM_WOLFMAN,771,11044,MAR,PSN,Rashid,87,100,8,92,28,87,32,81,38,82,39,72,37,87,89,71,7,91,62,97,47,82,50,86,67,83,48,92,39,91,24,90,143,92,13
osayu-,620,11036,JPN,PSN,Cammy,86,100,17,80,20,72,33,90,43,100,19,86,15,86,53,80,10,73,42,88,51,90,43,93,43,82,34,81,32,91,24,86,67,92,14
RealMenaceTV,933,10970,GBR,PSN,Chun Li,83,100,9,80,65,76,59,83,43,87,49,52,34,83,86,90,20,91,78,81,64,83,43,82,81,80,60,82,34,81,22,87,154,86,30
ClimaxX,598,12058,MAR,PSN,Dictator,86,92,14,84,26,76,25,72,25,82,17,76,17,79,68,86,15,92,66,91,34,62,27,93,91,96,31,73,23,88,25,92,76,100,18
GentlemanThief,1045,10260,OTH,PSN,R. Mika,83,75,33,84,73,86,44,83,73,79,49,80,41,86,69,86,29,82,89,87,71,93,59,86,107,73,63,87,66,80,47,80,107,80,25
Billy_Cat,1040,9682,JPN,PSN,Ryu,75,93,15,61,47,73,53,72,69,78,42,72,59,73,64,71,28,73,83,78,96,83,65,68,91,80,60,78,42,82,56,75,132,82,28
Despair_Syndrome,260,10086,JPN,STEAM,Dictator,93,0,0,100,14,85,7,89,28,100,7,100,9,94,59,100,2,100,13,76,17,87,8,100,17,90,10,87,8,100,2,100,11,75,4
kyo_anton,762,10997,JPN,STEAM,Nash,88,88,9,88,25,92,54,93,33,78,37,77,22,84,64,85,27,93,65,90,66,82,45,92,76,87,47,87,41,88,44,92,88,84,19
KillaKeeeeen,468,10566,USA,STEAM,Ken,89,100,27,83,30,88,17,95,23,82,23,68,29,96,25,100,4,86,37,96,32,100,30,81,49,88,17,92,26,100,22,89,67,100,10
On_KGBIFidoskin,1103,9540,RUS,STEAM,Fang,82,96,32,67,56,97,34,76,47,80,51,50,22,82,106,81,22,81,90,84,66,85,42,84,106,76,63,77,57,81,49,90,155,80,45
AlphaBee,385,10020,USA,STEAM,Dictator,94,100,3,100,20,100,22,100,31,100,12,63,22,97,34,88,9,98,56,88,17,91,23,91,36,90,21,100,16,100,14,94,37,100,12
Aerorockman,938,10784,FRA,STEAM,Dictator,78,94,17,68,41,83,61,76,38,72,33,74,31,78,73,81,27,76,94,85,67,59,37,80,89,75,66,76,38,64,31,87,163,75,32
gachikun,634,10227,JPN,PSN,Rashid,78,100,2,83,18,81,37,78,38,64,25,85,21,79,43,65,23,82,57,85,54,75,33,70,84,80,41,77,31,85,41,87,66,65,20
SF5-NL,1310,9753,KOR,PSN,Ryu,78,84,26,92,52,76,75,76,65,74,74,75,66,77,80,66,36,89,112,76,126,80,67,68,127,86,90,85,70,83,67,70,148,85,28
skillsmith,412,10015,USA,PSN,Necalli,77,100,8,58,24,94,18,75,33,75,20,51,31,59,27,83,12,82,39,85,20,100,24,72,25,70,17,77,36,85,14,90,44,85,20
Erunaka,1307,10186,JPN,PSN,Nash,85,88,25,92,41,84,129,78,105,84,58,64,37,79,54,67,31,92,105,91,104,81,93,91,131,86,75,88,70,80,70,89,145,78,32
memememe,625,10032,JPN,PSN,Ryu,82,0,0,80,26,76,52,76,43,76,21,92,13,89,39,72,18,85,49,78,61,81,44,68,69,86,46,90,20,88,36,90,82,100,6
3Dolla,478,10212,OTH,PSN,Karin,90,100,11,88,17,89,19,85,28,92,13,90,10,86,38,94,19,86,52,91,24,100,29,92,40,100,23,84,39,78,14,96,50,83,6
torachin0630,969,11838,JPN,PSN,Nash,85,100,26,82,29,85,49,84,59,70,37,79,34,83,65,89,19,80,81,94,111,76,51,89,88,73,76,82,62,84,44,94,117,100,21
Nutrient,846,9288,CIV,PSN,Birdie,82,82,17,90,43,73,49,69,53,85,42,61,21,80,91,70,10,80,94,87,72,88,34,86,79,89,47,78,50,79,24,88,102,94,17
NPB_ken,567,11966,JPN,STEAM,Chun Li,88,100,18,89,19,82,35,80,46,86,29,100,6,93,33,64,14,93,44,85,70,87,33,93,58,90,31,89,29,82,23,93,65,76,13
REBELO,649,10083,CAN,PSN,Nash,83,100,7,73,34,82,34,78,61,81,37,76,17,83,43,92,13,80,57,89,47,82,50,81,54,78,52,73,30,96,27,93,64,100,22
Jijidalal7,414,10248,GBR,PSN,Necalli,89,100,11,81,16,76,13,62,8,83,12,60,10,82,35,77,9,97,40,96,31,86,36,94,34,89,19,95,20,100,19,90,76,92,25
OmGiTzChun,1040,12224,USA,STEAM,R. Mika,83,86,79,83,53,87,49,78,52,86,69,83,73,96,55,75,40,80,100,91,57,89,55,88,53,78,66,84,53,77,45,78,113,64,25
broski,493,10232,GBR,STEAM,Dhalsim,81,100,2,76,26,77,27,88,9,90,21,87,8,67,62,91,12,87,47,76,25,77,45,86,30,86,22,65,26,70,17,91,57,100,18
ChrisWong_HK,668,10202,OTH,PSN,Nash,85,85,14,95,24,81,32,82,41,77,35,86,23,78,51,88,17,93,58,92,63,70,34,91,85,78,57,85,21,76,39,93,64,100,10
SoSickNASHFAN,667,10089,USA,PSN,Karin,82,0,0,80,20,75,24,77,18,85,14,68,16,70,31,60,10,83,37,93,29,91,24,82,41,83,24,84,32,95,22,84,52,100,11
nekonekodog,923,10977,JPN,PSN,Claw,84,84,26,87,24,87,56,84,57,87,49,80,21,81,58,84,13,86,94,87,128,75,53,78,87,84,59,83,36,87,32,86,106,80,10
GamerBee,773,10542,OTH,PSN,Necalli,87,100,12,86,15,74,31,88,35,90,22,100,13,78,33,100,10,93,33,86,53,88,27,77,62,90,31,89,37,93,29,87,54,89,19
PR-Balrog,650,9932,USA,STEAM,Necalli,89,84,13,100,13,89,28,90,22,92,13,85,20,84,26,96,27,92,27,82,41,92,14,96,32,95,20,93,15,76,13,84,26,90,11
VenomOfTuesday,683,10334,OTH,STEAM,Dictator,84,93,29,70,34,76,43,64,17,91,35,94,19,81,82,100,9,91,47,79,49,73,26,80,68,87,32,82,39,86,22,93,118,84,13
MarnHQ,750,9690,OTH,STEAM,R. Mika,78,86,23,70,30,92,25,77,58,75,36,73,30,85,35,83,24,81,49,78,84,79,48,78,69,74,51,80,40,81,27,78,71,72,18
NotMyRealName,555,10156,FRA,PSN,Zangief,87,100,9,81,16,100,13,100,18,90,10,30,10,93,30,87,8,92,26,92,26,84,13,84,25,81,16,100,17,80,10,85,48,78,14
kawawa7,266,10189,JPN,PSN,Cammy,84,100,5,100,11,84,13,73,26,100,14,71,7,88,26,80,10,100,13,76,13,88,18,84,33,63,19,77,9,88,9,90,32,62,8
GarioZzz,1372,10089,JPN,PSN,Nash,77,94,18,69,49,77,93,82,87,91,56,76,43,68,102,75,32,86,92,84,145,70,98,67,98,73,95,76,60,77,92,81,179,84,33
nuki777,785,10038,JPN,PSN,Chun Li,82,100,10,100,25,84,53,61,62,80,40,83,30,88,45,64,14,90,77,76,46,81,49,81,97,90,41,89,46,80,42,82,86,66,21
LegendarySaiyan-,1032,9927,USA,PSN,Laura,77,89,29,77,58,73,76,61,47,81,55,76,52,77,76,78,33,71,107,74,78,86,50,86,97,78,47,77,48,81,27,74,119,72,33
RZR_INFILTRATlON,110,9703,PRK,PSN,Karin,91,0,0,85,7,100,7,100,8,100,7,100,4,100,7,66,3,100,7,100,13,100,4,90,11,87,8,83,6,0,1,80,15,100,2
waist100cm,363,9448,OTH,PSN,Laura,80,72,11,80,10,84,13,90,20,69,43,92,14,87,16,80,5,86,29,89,38,83,18,79,29,76,21,87,16,65,26,82,35,76,13
Sofitia,1136,10112,CAN,STEAM,Chun Li,86,95,22,80,57,82,57,86,53,81,49,86,53,89,112,68,22,81,105,85,54,89,74,87,132,84,66,77,70,95,41,90,122,95,43
DR_SMUGGLES_PhD,597,9432,USA,PSN,Karin,82,100,19,83,31,84,25,73,38,82,39,88,18,75,36,93,15,77,68,84,39,81,44,77,49,91,36,77,40,70,17,88,62,80,15
Pontio,1356,10035,JPN,STEAM,Claw,84,95,40,82,39,78,85,77,86,78,47,85,48,78,83,80,46,89,89,91,113,85,101,86,115,86,108,95,66,81,66,76,164,90,60
