Player,Games,LP,Region,Platform,Character,Overall,AlexWin,AlexGames,BirdieWin,BirdieGames,CammyWin,CammyGames,ChunWin,ChunGames,ClawWin,ClawGames,DhalsimWin,DhalsimGames,DictatorWin, DictatorGames,FangWin,FangGames,KarinWin,KarinGames,KenWin,KenGames,LauraWin,LauraGames,NashWin,NashGames,NecalliWin,NecalliGames,RMikaWin,RMikaGames,RashidWin,RashidGames,RyuWin,RyuGames,ZangiefWin,ZangiefGames
TS-Sabin,881,13746,USA,PSN,Dhalsim,93,75,12,93,66,93,49,86,44,94,38,98,53,91,85,87,31,95,88,94,58,96,32,93,77,94,84,92,50,96,30,96,66,88,18
Fchampryan,480,12316,USA,STEAM,Dhalsim,92,90,21,94,18,93,30,96,28,75,28,100,34,95,24,100,9,94,34,91,36,90,21,92,40,97,35,90,21,90,21,88,61,94,17
FlashMetroid,648,12082,USA,PSN,Claw,87,90,32,75,24,100,37,90,21,81,49,93,29,87,48,94,19,85,70,95,46,95,42,83,60,76,25,76,34,90,33,89,65,92,13
BabyBel,614,12965,DEU,STEAM,Ken,92,93,16,90,22,84,33,97,38,96,28,76,26,97,46,88,17,89,66,96,30,100,42,93,48,91,37,86,15,90,40,94,58,87,16
TheGoldRoom,837,11993,GBR,STEAM,Dhalsim,84,88,9,74,54,77,57,90,41,96,53,93,16,72,91,78,14,83,65,85,49,81,33,91,67,91,57,78,33,74,35,93,92,75,16
BaLBaLoL,587,12129,GBR,STEAM,Nash,90,0,0,78,19,100,17,100,16,80,20,100,5,88,34,100,6,93,32,90,31,91,23,89,46,86,23,84,13,100,11,94,54,85,7
Backdash_Luffy,510,13028,FRA,PSN,Nash,97,100,28,100,17,100,10,100,17,95,23,90,11,86,52,100,11,100,62,97,36,94,38,98,74,100,13,100,23,100,9,100,77,100,9
Phenom,660,11983,NOR,PSN,Dictator,90,100,10,89,19,100,16,70,17,79,24,100,12,78,47,100,16,94,39,93,33,93,16,93,45,97,36,96,27,86,15,92,67,82,28
yuhi-hikali,752,11982,JPN,PSN,Necalli,93,100,6,94,34,98,50,97,48,93,29,86,22,83,54,92,13,97,70,97,70,89,59,93,60,90,53,87,32,89,57,96,86,87,8
Somniac,852,11511,AUS,STEAM,Dictator,92,94,51,96,31,100,24,100,27,100,32,89,29,78,38,92,13,88,52,88,70,93,33,97,88,95,47,93,73,88,17,90,131,95,22
Beni_Best,789,11367,ISR,STEAM,Cammy,87,93,15,66,54,91,34,91,37,90,20,68,25,82,76,100,20,92,65,94,71,87,49,90,75,94,36,80,35,86,15,92,128,83,31
ConchitaWurst,626,11409,OTH,STEAM,Nash,87,85,20,76,17,80,21,75,8,75,24,72,22,75,16,86,15,100,22,90,22,94,35,92,40,81,22,84,26,90,11,94,67,100,8
hirot_p38,488,11486,JPN,PSN,Chun Li,90,100,16,100,7,79,29,91,46,80,21,87,24,92,26,91,12,96,52,86,29,95,23,81,48,89,19,97,42,93,33,93,44,94,17
GinoDacampo,829,11042,GBR,STEAM,Laura,82,100,13,83,53,73,76,90,43,80,45,74,39,83,68,89,29,78,84,89,38,84,33,90,54,79,48,85,40,81,32,75,104,86,30
damdai,581,11390,USA,PSN,Ryu,88,100,6,92,26,87,39,94,36,83,37,95,24,77,49,70,10,93,61,97,39,100,49,80,55,89,37,77,27,86,22,92,41,91,23
TampaBison,910,10730,USA,PSN,Dictator,86,84,26,78,33,90,53,78,46,77,49,76,39,94,68,79,24,88,96,89,75,80,57,90,61,87,48,82,56,86,38,91,116,95,24
Cobelcog,589,10078,IRL,PSN,Cammy,85,90,10,75,40,92,27,73,19,85,27,95,22,84,76,100,11,90,52,84,44,83,42,82,47,89,46,71,28,82,17,94,67,85,14
F3alucarD,569,12398,USA,PSN,Birdie,85,96,26,89,29,73,15,71,28,85,28,85,7,86,15,71,7,88,45,86,22,68,16,82,23,81,16,93,15,100,6,90,31,100,11
bisonfan20,381,10811,GBR,PSN,Dictator,85,100,1,75,8,60,20,86,15,87,32,69,33,87,41,83,12,95,20,90,20,78,32,96,33,91,24,91,12,86,23,95,41,85,14
spaghettiman,344,10541,JPN,PSN,Laura,82,100,5,81,11,79,24,76,21,80,10,50,14,91,24,83,6,71,28,92,38,100,15,82,34,90,20,84,19,68,16,84,39,71,7
ning726,974,10100,USA,PSN,Dictator,80,95,24,79,58,81,61,71,52,75,53,66,42,88,76,71,14,83,95,89,68,62,54,90,72,87,70,69,71,82,41,85,99,70,24
Aozaki_Kyo,966,11254,OTH,PSN,Karin,81,85,60,84,39,76,56,75,54,71,60,87,32,79,63,70,27,84,88,83,54,86,69,86,79,73,69,80,55,81,32,90,84,82,45
3nodx2,646,10440,JPN,PSN,Chun Li,83,0,0,94,19,76,34,76,17,100,7,58,12,88,27,70,17,92,40,88,26,100,20,73,26,85,14,93,15,77,18,78,47,100,8
-Keoma-,715,10420,BRA,STEAM,Karin,86,88,18,68,19,92,38,82,39,76,65,88,25,83,60,78,14,88,87,82,46,91,56,87,56,83,37,88,35,84,13,90,84,95,23
WORLD_COMBO,1104,11580,JPN,PSN,Fang,81,100,11,80,56,62,78,82,74,88,36,69,42,79,81,85,34,91,99,91,61,83,72,74,103,86,72,89,67,64,64,85,128,96,26
Majorboy19,846,10860,JPN,STEAM,Chun Li,85,93,16,90,31,88,45,80,67,88,36,63,22,83,36,94,18,87,77,86,73,88,45,80,87,88,54,82,39,89,49,84,126,84,25
zaqzaqzaq,354,11701,JPN,PSN,Chun Li,92,100,8,92,13,82,23,96,25,100,15,100,13,100,10,100,5,100,16,86,38,100,22,97,35,83,18,92,25,95,24,82,58,100,6
Rhyllis,427,10286,CAN,PSN,Fang,84,100,1,87,32,83,30,93,29,71,21,87,24,79,48,80,10,86,36,77,31,100,21,82,29,86,30,76,25,86,15,94,34,72,11
Verloren,654,10283,KOR,STEAM,Cammy,85,100,7,90,20,90,66,85,42,81,11,88,17,82,41,90,11,87,48,87,56,93,43,79,72,84,44,79,29,84,32,83,80,93,16
Ca55hern,743,10061,GRC,STEAM,Nash,86,92,27,76,25,88,34,96,28,95,24,70,24,79,62,84,19,81,72,94,54,83,36,85,92,83,42,84,33,86,29,91,117,87,24
VFM_WOLFMAN,711,10376,MAR,PSN,Rashid,87,100,8,92,27,86,29,83,37,82,39,72,36,87,80,66,6,91,57,97,44,80,42,85,60,81,43,91,34,90,22,90,134,92,13
osayu-,485,10050,JPN,PSN,Cammy,84,100,15,80,20,72,29,90,33,100,16,83,12,82,39,88,9,66,30,90,40,88,27,90,30,81,22,81,32,90,20,85,42,88,9
RealMenaceTV,754,10330,GBR,PSN,Chun Li,82,100,4,75,48,76,50,82,39,90,43,50,28,82,68,87,16,91,62,85,48,84,32,80,72,77,54,82,23,76,17,87,123,84,25
ClimaxX,416,10379,MAR,PSN,Dictator,83,91,12,80,21,64,17,66,12,77,9,42,7,76,46,86,15,91,49,90,20,57,21,90,66,96,26,73,19,82,17,86,45,100,14
GentlemanThief,935,10043,OTH,PSN,R. Mika,83,80,21,83,67,84,39,84,69,79,43,80,41,85,64,88,26,80,77,86,65,94,52,86,101,75,56,90,60,83,43,80,94,76,17
Billy_Cat,879,10127,JPN,PSN,Ryu,76,92,13,69,39,71,45,75,56,84,32,71,49,75,58,73,26,74,74,80,72,81,60,65,82,79,53,76,39,83,49,75,105,90,21
Despair_Syndrome,260,10086,JPN,STEAM,Dictator,93,0,0,100,14,85,7,89,28,100,7,100,9,94,59,100,2,100,13,76,17,87,8,100,17,90,10,87,8,100,2,100,11,75,4
